user_id,name,age,gender,city,registration_date,transaction_id,product_id,amount,payment_type,date,product_name,category,price,stock,day,month,year,payment_type_label,cateory_ordinal,price_category,amount_log,amount_sqrt,amount_scaler,amount_minmax,avg_monthly_spend,purchase_frequency,days_since_last_purchase,category_total_expenditure
U0003,Aarohi Gupta,37.0,Other,Indore,2022-02-02,T000631,P001,24.37,Wallet,2024-12-04,Product_001,Grocery,264.89,371,4,12,2024,5,4.0,Low,3.2335673736111907,4.9365980188789935,-0.9524193268707617,0.030489376587988358,40.597500000000004,4,180,8427.07
U0010,Diya Kulkarni,36.0,Female,Delhi,2024-01-18,T000379,P001,22.48,UPI,2023-08-08,Product_001,Grocery,264.89,371,8,8,2023,4,4.0,Low,3.1561489949598958,4.741307836451879,-0.9940596808500715,0.027009610781750557,47.78,4,390,8427.07
U0012,Aarohi Singh,28.0,Other,Ghaziabad,2024-06-25,T000679,P001,54.06,Debit Card,2023-04-05,Product_001,Grocery,264.89,371,5,4,2023,2,4.0,Low,4.008423499714461,7.352550577860719,-0.2982912265291183,0.08515299922671869,76.72625,8,207,8427.07
U0031,Aarohi Khan,27.0,Other,Lucknow,2022-04-25,T000667,P001,64.81,Wallet,2023-10-09,Product_001,Grocery,264.89,371,9,10,2023,5,4.0,Low,4.186771802468027,8.050465825031493,-0.061447943313467736,0.10494531796590197,98.785,4,195,8427.07
U0032,Kabir Mukherjee,46.0,Male,Thane,2022-01-04,T000720,P001,61.34,Credit Card,2024-03-31,Product_001,Grocery,264.89,371,31,3,2024,1,4.0,Low,4.132603274339191,7.8319856996805095,-0.13789875194214748,0.09855654159148652,77.505,2,760,8427.07
U0034,Vihaan Singh,23.0,Other,Visakhapatnam,2023-09-16,T000105,P001,53.92,UPI,2024-05-02,Product_001,Grocery,264.89,371,2,5,2024,4,4.0,Low,4.00587758089977,7.343023900274328,-0.3013756971942524,0.08489523879662701,75.76333333333334,9,185,8427.07
U0061,Aarohi Joshi,28.0,Male,Chennai,2022-10-31,T000917,P001,230.91,Credit Card,2023-07-02,Product_001,Grocery,264.89,371,2,7,2023,1,4.0,Low,5.446349365367118,15.195723082499233,3.5980561815348637,0.4107596568103987,86.66,7,306,8427.07
U0071,Kabir Roy,34.0,Female,Bengaluru,2022-01-10,T000064,P001,29.53,Cash,2023-04-11,Product_001,Grocery,264.89,371,11,4,2023,0,4.0,Low,3.4187098067467865,5.43415126767741,-0.8387345509272495,0.03998968958279633,73.29333333333334,9,495,8427.07
U0086,Aarohi Reddy,27.0,Female,Ahmedabad,2022-02-12,T000695,P001,125.12,Wallet,2025-02-09,Product_001,Grocery,264.89,371,9,2,2025,5,4.0,Low,4.83723383467686,11.18570516328765,1.2672979553596382,0.21598482895754315,87.285,4,204,8427.07
U0099,Vihaan Kulkarni,32.0,Female,Kanpur,2024-01-17,T000516,P001,105.85,UPI,2025-04-27,Product_001,Grocery,264.89,371,27,4,2025,4,4.0,Low,4.671425981765156,10.288342918079666,0.8427426002372578,0.18050594690135136,70.554,5,247,8427.07
